Ecoponto,Endereço,CEP,Observação
Viaduto Engenheiro Alberto Badra,"Avenida Aricanduva, nº 200 - Praça Lúcia Mekhitarian – Bairro: Aricanduva (baixo do Viaduto Engenheiro Alberto Badra)",03501-010,Este ecoponto recebe gesso
Astarte,"Rua Astarte, nº 500 – Bairro: Vila Carrão",03446-090,Este ecoponto recebe gesso
Nova York,"Rua Amélia Vanso Magnoli, nº 480 – Bairro: Conjunto Habitacional Barreira Grande",03907-010,
Aricanduva ,"Rua Professor Alzira de Oliveira Gilioli, nº 400 – Bairro: Jardim Nice",03905-090,Este ecoponto recebe gesso
Jardim Maria do Carmo,"Rua Caminho do Engenho, nº 800 – Bairro: Ferreira",05524-000,
Jardim Jaqueline,"Parque Raposo Tavares - Rua Walter Brito Belletti, s/nº - Bairro: Vila Albano",05543-040,Este ecoponto recebe gesso
Politécnica,"Rua Paulino Baptista Conti, nº 2 – Bairro: Jardim Sarah",05382-140,
Giovani Gronchi,"Avenida Giovani Gronchi, nº 3413 – Bairro: Morumbi",05651-002,
Santo Dias,"Travessa Rosifloras, nº 301 – Bairro: Conjunto Habitacional Instituto Adventista",05868-600,
Parque Fernanda,"Avenida Doutor Salvador Rocco, nº 261, defronte Rua Antônio Cânon – Bairro: Parque",05888-050,
Olinda,"Rua Nelson Brissac, nº 1235, esquina com Avenida Padre Adolfo Kolping – Bairro: Parque Regina ",05773-110,
Vila das Belezas,"Rua Campo Novo do Sul, nº 500 – Bairro: Vila Andrade",05729-100,Este ecoponto recebe gesso
Paraisópolis,"Rua Irapará, nº 73 – Bairro: Paraíso do Morumbi",05706-300,
Cidade Saudável,"Rua Ptolomeu, nº 869 – Bairro: Vila Socorro",04762-040,Este ecoponto recebe gesso
Parque Peruche,"Avenida Engenheiro Caetano Álvares, nº 3142 – Bairro: Parque Peruche",02535-008,
Vila Nova Cachoeirinha,"Rua Felix Alves Pereira, nº 113 – Bairro: Jardim Centenário",02882-030,
Vila Santa Maria,Rua André Bolsena com a Travessa Luiz Sá – Bairro Vila Santista,02560-170,
Jardim Antártica,"Rua Dom Aquino, nº 103 – Bairro: Jardim Antártica",02652-170,
São Leandro,"Rua São Leandro, nº 13 – Bairro: Vila Palmeiras",02725-010,
Alvarenga,"Estrada do Alvarenga, nº 2475 – Bairro: Balneário Mar Paulista",04467-000,
Cupecê,"Rua Anália Maria de Jesus, nº 130 – Trav. Av. Cupecê – Bairro: Jardim Itacolomi",04385-110,
Nascer do Sol,"Rua Nascer do Sol, nº 356 – Bairro: Conjunto Habitacional Santa Etelvina II",08485-020,
Setor G,"Rua Alfonso Asturaro, altura do nº 600 – Bairro: Conjunto Habitacional Barro Branco II",08473-591,
Inácio Monteiro,"Rua Regresso Feliz, nº 1190 - Bairro: Conjunto Habitacional Inácio Monteiro",08472-210,Este ecoponto recebe gesso
Jardim São Nicolau,"Rua Agreste de Itabaiana, nº 590, esquina com a Rua Eduardo Kyioshi Shimuta – Bairro: Vila União (Zona Leste)",03683-000,
Boturussu,"Rua Nélio Batista Guimarães, nº 183 – Bairro: Parque Boturussu",03802-005,
Bandeirantes,"Rua Itaiquara, nº 237 - Bairro: Itaberaba",02803-050,
Freguesia do Ó,"Rua Sousa Filho, nº 690 – Bairro: Vila União (Zona Norte)",02911-135,
Vila Rica,"Rua Jorge Mamede da Silva, nº 200 – Bairro: Vila Souza",02860-050,
Jardim São Paulo,"Rua Utaro Kanai, nº 374 – Bairro: Conjunto Habitacional Juscelino Kubitschek",08465-000,
Guaiaponto,"Rua da Passagem Funda, nº 250 – Bairro: Vila Santa Cruz (Zona Leste)",08411-010,Este ecoponto recebe gesso
Lajeado,"Rua Isabela, nº405 – Bairro: Jardim Lajeado",08411-010,
Padre Nildo do Amaral,"Rua Padre Nildo do Amaral Júnior, nº 900 – Bairro: Vila Nova Curuçá",08032-650,
Tereza Cristina,"Rua Tereza Cristina, nº 10, esquina com Avenida do Estado – Bairro: Vila Monumento",01553-000,Este ecoponto recebe gesso
Santa Cruz,"Rua Santa Cruz, nº 1452 (Baixo do Viaduto Santa Cruz) – Bairro: Vila Mariana",04122-000,
Vila das Mercês,"Rua Italva, nº 86 – Bairro: Saúde",04294-030,
Comandante Taylor,"Rua Comandante Taylor, nº 690 (Baixo do Viaduto Comandante Taylor) – Bairro: Ipiranga",04218-000,
Moreira,"Rua João Batista de Godói, nº 1164 – Bairro: Jardim das Oliveiras",08111-430,
Mãe Preta,"Avenida Dama Entre Verdes, nº 21, - Bairro: Vila Curuçá",08030-610,Este ecoponto recebe gesso
Pesqueiro,"Rua Caiuás, nº 18, esquina com a Avenida Itamerendiba – Bairro: Jardim Ida Guedes",08120-580,Este ecoponto recebe gesso
Flamingo,"Rua Alexandre Dias Nogueira, nº353 – Bairro: Vila Nova Curuçá",08031-240,
Itaim Paulista,"Rua Barão de Almeida Galeão, altura do nº61 – Bairro: Itaim Paulista",08575-210,
Jardim Indaiá,"Rua Rossini Pinto, altura do nº 214 – Bairro: Jardim Indaiá",08143-030,
Parque Guarani,"Rua Manuel Alves da Rocha, nº 584 – Bairro: Parque Guarani",08235-620,
Oswaldo Valle Cordeiro,"Av. Osvaldo Valle Cordeiro, nº 405 – Bairro: Jardim Brasília (Zona Leste)",03584-000,Este ecoponto recebe gesso
Cidade Lider,"Rua Charles Manguin, nº 20- Bairro: Jardim Marília",03579-150,
Parque do Carmo,"Rua Machado Nunes, nº 95 – Bairro: Jardim Nossa Senhora do Carmo",08275-310,
Corinthians,"Rua Ana Perena, nº 155 – Bairro: Conjunto Residencial José Bonifácio",08253-230,Este ecoponto recebe gesso
Caldeirão,"Rua Major Vitorino de Souza Rocha, altura do nº148 – Bairro: Vila Santa Teresinha",08247-080,
Imigrantes,Rua Opixe - Bairro: Vila Guarani (Zona Sul),04312-080,Este ecoponto recebe gesso
Jabaquara,"Rua Jupatis, nº140 – Bairro: Vila Mira",04377-200,Este ecoponto recebe gesso
Anselmo Machado,"Avenida Paulo Lincoln do Valle Pontin, altura do nº 550 – Bairro: Jaçanã",02273-011,
Silvio Bittencourt,"Rua Maria Amália Lopes Azevedo, nº 4008 – Bairro: Vila Albertina",02350-003,
Viaduto Antártica,Rua Robert Bosch (Baixos Viaduto Antártica) – Bairro: Parque Industrial Tomas Edson,01141-010,
Vila Jaguara,"Rua Agrestina, nº 189 – Bairro: Vila Jaguara",05117-100,
Piraporinha,"Rua João de Abreu, nº326 – Bairro: Jardim Tupã",04904-000,Este ecoponto recebe gesso
São Luis,"Rua Pedro Armani, nº 252 – Bairro: Jardim Letícia",05820-220,
Bresser,"Pça. Giuseppe Cesari, nº 54 (Baixo do Viaduto Bresser) – Bairro: Brás",03053-000,Este ecoponto recebe gesso
Tatuapé,"Avenida Salim Farah Maluf, nº 179, Praça Tito Lívio Ferreira (Central de Triagem) – Bairro: Tatuapé",03076-000,Este ecoponto recebe gesso
Brás,"Avenida Presidente Wilson, nº 1 (Baixo Viaduto Professor Alberto Mesquita de Carvalho) – Bairro: Mooca",03107-000,
Mooca,"Avenida Pires do Rio, nº 600 (Baixo Viaduto Bresser) – Bairro: Belenzinho",03163-010,
Pari,"Avenida Carlos de Campos, nº 996 (defronte), esquina com Avenida Presidente Castelo Branco – Bairro: Pari",03028-001,
Belém,"Rua Belarmino Matos, nº 26 (baixos do Viaduto Guadalajara) – Bairro: Belenzinho",03062-030,
Vila Luisa,"Praça Dante Maron, nº 92 (Baixos Viaduto Engenheiro Alberto Badra) – Bairro: Guaiúna",03631-230,Este ecoponto recebe gesso
Água Rasa,"Av. Salim Farah Maluf, nº 1500 – Bairro: Quarta Parada",03304-090,Este ecoponto recebe gesso
Mendes Caldeira,"Rua Monsenhor Andrade, nº 865 – Bairro: Brás",03008-000,
Mooca ll,"Rua Pantojo, nº 1.147 – Bairro: Vila Regente Feijó",03343-000,
Penha I,"Rua Doutor. Heládio, nº 104 – Bairro: Vila Esperança",03650-020,
Tiquatira,"Rua Amorim Diniz, nº 415 – Bairro: Jardim Jaú (Zona Leste)",03730-040,
Gamelinha,"Rua Morfeu, nº 25, esquina com Avenida Edgar dos Santos – Bairro: Jardim Santo Antônio",03554-000,
Vila Matilde,"Rua Mateus de Siqueira, nº 375, com Praça Leonildes Ramos Saigo - Bairro: Jardim Triana",03554-000,
Cangaíba,"Rua Luciano Nogueira, altura do nº 241 – Bairro: Cangaíba",03721-080,
Franquinho,"Rua Praia de Mucuripe, nº 685 – Bairro: Jardim Artur Alvim",03687-100,
Dalila,"Rua Inacio da Costa nº 740, esquina com a Avenida Aricanduva – Bairro: Vila Dalila",03520-030,
COHAB Artur Alvim,Avenida. Padre Estanislau de Campos nº 56 – Bairro: Conjunto Habitacional Padre Manoel da Nóbrega,03590-060,
Vila Talarico,"Avenida Bernardino Brito Fonseca de Carvalho, nº 1.050 – Bairro: Vila Talarico",03535-000,
Recanto dos Humildes,"Rua Sales Gomes, nº 415 – Bairro: Vila Perus",05211-200,
Jardim Santa Fé,Rua Salvador Albano nº156 – Bairro: Jardim Santa Fé (Zona Oeste),05271-090,
Pinheiros,"Praça do Cancioneiro, nº 15 (Baixos da Ponte Engenheiro Ary Torres) – Bairro: Cidade Monções",04571-200,Este ecoponto recebe gesso
Vila Madalena,"Rua Girassol, nº 15, esquina Rua Luís Murat – Bairro: Vila Madalena",05433-000,
Alto de Pinheiros,Praça Arcipreste Anselmo de Oliveira – Bairro: Alto de Pinheiros,05463-080,
Cônego José Salomon,"Avenida. Cônego José Salomon, nº 861 – Bairro: Vila Portugal",02918-170,Este ecoponto recebe gesso
Vigário Godói,"Rua Vigário Godói, nº 480 – Bairro: Vila Zat",02976-080,Este ecoponto recebe gesso
Voith,"Avenida Atílio Brugnoli, nº 489 – Bairro: Parque Nações Unidas",02996-010,
Alexios Jafet,"Rua Alexios Jafet, nº 233 – Bairro: Jardim Ipanema (Zona Oeste)",05187-010,
Tucuruvi,"Rua Eduardo Vicente Nasser, nº 519 – Bairro: Barro Branco (Zona Norte)",02344-050,
Santana,"Avenida Zaki Narchi, nº375 – Bairro: Carandiru",02029-000,
Alceu Maynard de Araújo,"Avenida Professor Alceu Maynard de Araújo, nº 330 - ao lado da Central de Triagem – Bairro Vila Cruzeiro",04728-110,
Vicente Rao,"Avenida Vicente Rao, nº 308 sentido Diadema (Baixo do Viaduto José Diniz) – Bairro: Jardim Petrópolis",04636-000,Este ecoponto recebe gesso
Pedro Bueno,"Rua João de Lery, altura do nº 503 – Bairro: Parque Jabaquara",04356-030,Este ecoponto recebe gesso
Vitor Manzini,"Praça Dom Francisco de Sousa, nº 635 – Bairro: Santo Amaro",04745-050,Este ecoponto recebe gesso
Cipoaba,"Rua Padre Luis de Siqueira, nº 947, com Avenida Rodolfo Pirani - Bairro: Jardim Rodolfo Pirani",08310-260,
Iguatemi,"Rua Francisco de Melo Palheta, nº1548 – Bairro: Parque Boa Esperança",08341-235,
Montalvania,Rua Montalvania nº 195 – Bairro: Jardim São Cristóvão,03930-095,Este ecoponto recebe gesso
Lima Bonfante,"Rua Capitão-mor Lázaro da Costa, nº 251 – Bairro: Jardim São Francisco",08390-260,
Imperador,"Avenida. Ribeirão Jacu, nº 201 (Baixo do Viaduto Jacu Pêssego) – Bairro: Jardim das Camélias",08050-420,
Carlito Maia,"Rua Domingos Fernandes Nobre, nº 109 – Bairro: Vila Itaim",08190-300,
Pedro Nunes,"Rua da Polka, nº 100 – Bairro: Jardim Pedro José Nunes",08061-540,
Itaqueruna,"Rua Domitila d'Abril, nº 88 - Bairro: Cidade Nova São Miguel",08042-550,Este ecoponto recebe gesso
Varre Vila,"Rua Primeiro de Maio, defronte nº 106 – Bairro: União de Vila Nova",08072-050,
Vitória Popular,Rua El Rey nº 508 – Bairro: Jardim São Carlos (Zona Leste),08062-520,
Jardim Helena,"Rua Cosme dos Santos, nº 110 – Bairro: Jardim Helena",08090-753,Este ecoponto recebe gesso
Jardim Romano,"Rua Duarte Martins Mourão, nº 400 – Bairro: Jardim Santa Margarida",08191-250,
Jardim Lapena,"Rua Rafael Zimbard, altura do nº78 – Bairro Jardim Nair",08071-130,Este ecoponto recebe gesso
Sapopemba,"Rua Francesco Usper, nº 550 – Bairro Conjunto Habitacional Teotonio Vilela",03928-235,
Vila Cardoso Franco,"Rua dos Vorás, nº 25 – Bairro: Conjunto Residencial Sitio Oratório",03978-310,
Reynaldo José,"Rua Silvestro Silvestre, nº 400 – Bairro: Jardim Ângela (Zona Leste)",03985-000,
Joaquim Catuna,"Rua Luca Conforti, nº210 - Bairro Fazenda da Juta",03977-417,
Glicério,"Praça Ministro Francisco Sá Carneiro, nº 6 (Baixos do Viaduto Glicério, acesso pela Avenida do Estado, 4434) - Bairro: Liberdade",01517-100,Este ecoponto recebe gesso
Liberdade,"Rua Jaceguai, nº 67, esquina com a Avenida Liberdade – Bairro: Bela Vista",01315-010,
Armênia,"Rua General Carmona, nº 156 – Bairro: Luz",01102-030,
Cambuci,"Avenida Dom Pedro I, nº 38 – Bairro: Vila Monumento",01552-001,Este ecoponto recebe gesso
General Flores (Fora de Operação - Temporariamente),"Rua General Flores, nº 10 – Bairro: Bom Retiro",01129-010,
Bela Vista,"Rua Quatorze de Julho, nº 59 – Bairro: Bela Vista",01324-040,Este ecoponto recebe gesso
Vila Guilherme,"Rua José Bernardo Pinto, nº 1480 – Bairro: Vila Guilherme",02055-001,Este ecoponto recebe gesso
Vila Sabrina,"Avenida do Poeta, nº 931 – Bairro: Jardim Julieta",02161-160,
Vila Maria,"Rua Curuçá, nº 1.700 - Bairro: Jardim Andaraí",02168-150,
Vila Mariana,"Rua Mauricio Francisco Klabin, nº37 – Bairro: Vila Mariana",04120-020,Este ecoponto recebe gesso
Saioa,"Rua Mary Baida Salem, nº01 – Bairro: Vila Firmiano Pinto",04124-210,
Rubem Berta,"Avenida Rubem Berta, 1100 (baixo do Viaduto Onze de Junho) - Bairro:",04014-010,
Anhaia Mello,"Rua da Prece, nº 296 – Bairro: Vila Prudente",03156-210,Este ecoponto recebe gesso
São Lucas,"Rua Florêncio Sanches, nº 307 – Bairro: Parque Residencial Oratorio",03266-120,Este ecoponto recebe gesso
Vila Industrial,"Rua Lisa Ansorge, altura do nº 645 – Bairro: Jardim Guairaca",03244-060,Este ecoponto recebe gesso
